bouts,fighterspc,fighters,lfighters,gauss
12.000000,0.012449,2.000000,1.000000,0.044718
14.550000,0.006225,1.000000,0.000000,0.050621
17.100000,0.024899,4.000000,0.000000,0.056332
19.650000,0.037348,6.000000,2.000000,0.061624
22.200000,0.024899,4.000000,2.000000,0.066269
24.750000,0.074697,12.000000,2.000000,0.070057
27.300000,0.018674,3.000000,1.000000,0.072805
29.850000,0.049798,8.000000,0.000000,0.074378
32.400000,0.012449,2.000000,0.000000,0.074697
34.950000,0.031124,5.000000,1.000000,0.073744
37.500000,0.024899,4.000000,0.000000,0.071569
40.050000,0.006225,1.000000,1.000000,0.068281
42.600000,0.018674,3.000000,0.000000,0.064039
45.150000,0.006225,1.000000,0.000000,0.059042
47.700000,0.006225,1.000000,0.000000,0.053512
50.250000,0.012449,2.000000,0.000000,0.047677
52.800000,0.006225,1.000000,1.000000,0.041758
55.350000,0.000000,0.000000,0.000000,0.035954
57.900000,0.000000,0.000000,0.000000,0.030432
60.450000,0.018674,3.000000,0.000000,0.025321
