reach,fighterspc,fighters,lfighters,gauss
154.000000,0.010684,1.000000,0.000000,0.073052
156.600000,0.000000,0.000000,0.000000,0.073371
159.200000,0.010684,1.000000,0.000000,0.073657
161.800000,0.010684,1.000000,1.000000,0.073913
164.400000,0.010684,1.000000,0.000000,0.074136
167.000000,0.010684,1.000000,0.000000,0.074326
169.600000,0.010684,1.000000,0.000000,0.074484
172.200000,0.021368,2.000000,1.000000,0.074609
174.800000,0.021368,2.000000,0.000000,0.074701
177.400000,0.042735,4.000000,0.000000,0.074761
180.000000,0.074786,7.000000,1.000000,0.074786
182.600000,0.064103,6.000000,0.000000,0.074779
185.200000,0.000000,0.000000,0.000000,0.074738
187.800000,0.032051,3.000000,0.000000,0.074664
190.400000,0.032051,3.000000,1.000000,0.074557
193.000000,0.010684,1.000000,0.000000,0.074418
195.600000,0.000000,0.000000,0.000000,0.074245
198.200000,0.000000,0.000000,0.000000,0.074040
200.800000,0.010684,1.000000,0.000000,0.073803
203.400000,0.010684,1.000000,0.000000,0.073533
