wins,fighterspc,fighters,lfighters,gauss
12.000000,0.013021,2.000000,1.000000,0.028990
14.400000,0.013021,2.000000,0.000000,0.037397
16.800000,0.039063,6.000000,1.000000,0.046459
19.200000,0.045573,7.000000,2.000000,0.055583
21.600000,0.013021,2.000000,1.000000,0.064039
24.000000,0.078125,12.000000,3.000000,0.071054
26.400000,0.019531,3.000000,0.000000,0.075922
28.800000,0.058594,9.000000,0.000000,0.078125
31.200000,0.032552,5.000000,1.000000,0.077419
33.600000,0.013021,2.000000,0.000000,0.073883
36.000000,0.013021,2.000000,0.000000,0.067902
38.400000,0.013021,2.000000,1.000000,0.060097
40.800000,0.006510,1.000000,0.000000,0.051223
43.200000,0.019531,3.000000,0.000000,0.042045
45.600000,0.000000,0.000000,0.000000,0.033236
48.000000,0.013021,2.000000,0.000000,0.025301
50.400000,0.006510,1.000000,1.000000,0.018548
52.800000,0.013021,2.000000,0.000000,0.013095
55.200000,0.000000,0.000000,0.000000,0.008903
57.600000,0.006510,1.000000,0.000000,0.005829
