lat,lon,ts,country,city
32.0811,-81.0911,2015-11-27 18:01:33,United States,Savannah
34.23528,-118.34238,2015-11-27 18:01:43,United States,Los Angeles
34.0522,-118.243,2015-11-27 18:02:01,United States,Los Angeles
39.0886612,-94.5811005,2015-11-27 18:02:04,United States,Kansas City
34.0522,-118.243,2015-11-27 18:01:01,United States,Los Angeles
40.7617111,-73.9743805,2015-11-27 18:01:04,United States,New York
33.85229082,-96.64197385,2015-11-27 18:01:29,United States,Denison
41.6374,-73.5717,2015-11-27 18:01:32,United States,Wingdale
18.2233,-66.4289,2015-11-27 18:00:43,Puerto Rico,Orocovis
28.45025303,-81.47073682,2015-11-27 18:00:57,United States,Orlando
33.35638297,-117.16154465,2015-11-27 18:14:15,United States,Fallbrook
42.1475,-74.6511,2015-11-27 18:14:12,United States,Margaretville
33.2163,-97.1292,2015-11-27 18:14:07,United States,Denton
45.1252,-92.6752,2015-11-27 18:13:57,United States,Somerset
33.67732509,-112.25271885,2015-11-27 18:15:10,United States,Peoria
36.97162304,-121.98396769,2015-11-27 18:14:57,United States,Santa Cruz
33.4190426,-112.4055234,2015-11-27 18:14:50,United States,Goodyear
34.0522,-118.243,2015-11-27 18:14:49,United States,Los Angeles
42.39978551,-71.13246168,2015-11-27 17:59:07,United States,Somerville
40.7142,-74.0064,2015-11-27 18:13:52,United States,New York
34.2740211,-118.784111,2015-11-27 18:13:48,United States,Simi Valley
30.2672,-97.7639,2015-11-27 18:17:02,United States,Austin
40.779447,-73.96906,2015-11-27 18:16:54,United States,New York
42.1009,-79.3219,2015-11-27 18:16:37,United States,Lakewood
36.16666667,-86.78333333,2015-11-27 18:04:12,United States,Nashville
42.3578,-71.0617,2015-11-27 18:03:52,United States,Boston
30.0969,-95.6158,2015-11-27 18:03:41,United States,Tomball
38.54348252,-121.46825959,2015-11-27 18:03:20,United States,Sacramento
34.1133,-117.658,2015-11-27 18:02:57,United States,Upland
38.93252338,-77.17676733,2015-11-27 18:02:47,United States,McLean
12.3667,-87.0333,2015-11-27 18:02:39,Nicaragua,Las Peñitas
40.70427093,-74.09195157,2015-11-27 18:02:29,United States,Jersey City
40.86320713,-75.01554842,2015-11-27 18:02:28,United States,Belvidere
40.42484894,-74.54279644,2015-11-27 18:02:25,United States,South Brunswick Township
39.1252,-121.563,2015-11-27 18:02:22,United States,Linda
41.1865,-74.0554,2015-11-27 18:04:20,United States,Pomona
32.62716585,-96.78584852,2015-11-27 18:11:21,United States,Lancaster
34.08851199,-118.3785908,2015-11-27 18:11:27,United States,West Hollywood
33.84302617,-84.37890905,2015-11-27 18:11:39,United States,Atlanta
33.8624115,-118.1552505,2015-11-27 18:11:41,United States,Long Beach
20.5100899,-86.9508438,2015-11-27 18:11:31,Mexico,San Miguel
33.86791015,-83.99413456,2015-11-27 18:11:31,United States,Snellville
37.7574,-121.952,2015-11-27 18:12:18,United States,San Ramon
35.6044617,-77.3675003,2015-11-27 18:12:20,United States,Greenville
41.27722222,-73.78138889,2015-11-27 18:11:59,United States,Yorktown Heights
33.381297,-84.173135,2015-11-27 18:12:12,United States,McDonough
32.6662,-79.9392,2015-11-27 18:04:59,United States,Folly Beach
29.42446297,-98.48815939,2015-11-27 18:04:59,United States,San Antonio
34.07305556,-118.39944444,2015-11-27 18:07:49,United States,Beverly Hills
49.25,-123.1,2015-11-27 18:07:38,Canada,Vancouver
29.9199696,-90.0813522,2015-11-27 18:05:28,United States,New Orleans
43.1525612,-77.6007996,2015-11-27 18:05:42,United States,Rochester
31.1836891,-81.3744965,2015-11-27 18:05:08,United States,Saint Simons Island
41.19378406,-96.16937771,2015-11-27 18:05:20,United States,Omaha
59.91858008,10.75800699,2015-11-27 18:08:13,Norway,Oslo
32.7153,-117.156,2015-11-27 18:08:11,United States,San Diego
34.26006627,-118.31968319,2015-11-27 18:08:32,United States,Los Angeles
14.6446629,121.0608139,2015-11-27 18:08:27,Philippines,Lungsod Quezon
39.73780143,-75.55475421,2015-11-27 18:08:00,United States,Wilmington
42.3578,-71.0617,2015-11-27 18:07:58,United States,Boston
41.4182663,-81.524086,2015-11-27 18:08:05,United States,Bedford Heights
35.1489182,-89.9364395,2015-11-27 18:08:03,United States,Memphis
42.21516423,-83.4862535,2015-11-27 18:16:57,United States,Belleville
45.5542984,-122.6306763,2015-11-27 18:16:39,United States,Portland
26.0604713,-80.2145008,2015-11-27 18:05:58,United States,Davie
40.4514809,-80.2061691,2015-11-27 18:05:47,United States,Coraopolis
33.94545152,-118.39832846,2015-11-27 18:06:31,United States,Los Angeles
34.065795,-81.328968,2015-11-27 18:06:24,United States,Gilbert
41.0900688,-72.4109802,2015-11-27 18:06:34,United States,Southold
35.77402636,-84.26659015,2015-11-27 18:06:32,United States,Lenoir City
50.8255348,-0.1567222,2015-11-27 18:06:17,United Kingdom,Hove
36.175,-115.136,2015-11-27 18:06:03,United States,Las Vegas
40.80260767,-81.37597646,2015-11-27 18:06:18,United States,Canton
33.60689175,-114.52414367,2015-11-27 18:06:18,United States,Ehrenberg
33.67067539,-117.99362306,2015-11-27 18:12:58,United States,Huntington Beach
30.24807651,-87.6893549,2015-11-27 18:13:00,United States,Gulf Shores
37.88716475,-121.7815376,2015-11-27 18:13:22,United States,Brentwood
29.70680687,-95.3976829,2015-11-27 18:13:24,United States,Houston
34.4204292,-119.5959473,2015-11-27 18:13:26,United States,Summerland
55.85652172,-4.25748812,2015-11-27 18:13:27,United Kingdom,Glasgow
33.6929,-118.0,2015-11-27 18:13:07,United States,Huntington Beach
41.66679,-69.9663696,2015-11-27 18:13:14,United States,Chatham
33.35,-111.789,2015-11-27 18:13:17,United States,Gilbert
34.2711,-118.739,2015-11-27 18:13:21,United States,Simi Valley
42.3578,-71.0617,2015-11-27 18:11:21,United States,Boston
38.63145511,-90.20230293,2015-11-27 18:11:11,United States,Saint Louis
40.14369831,-74.02397804,2015-11-27 18:11:11,United States,Spring Lake
26.926,-80.105,2015-11-27 18:11:11,United States,Jupiter
32.15314636,-80.72949752,2015-11-27 18:11:06,United States,Hilton Head Island
42.8694,-71.035,2015-11-27 18:10:21,United States,Newton
25.93243055,-80.15272558,2015-11-27 18:10:19,United States,North Miami Beach
41.1865,-74.0554,2015-11-27 18:10:16,United States,Pomona
55.85652172,-4.25748812,2015-11-27 18:10:00,United Kingdom,Glasgow
36.694896,-121.658891,2015-11-27 18:09:58,United States,Salinas
41.1411,-73.2642,2015-11-27 18:16:58,United States,Fairfield
34.1007,-84.519,2015-11-27 18:16:47,United States,Woodstock
41.49166343,-72.08990779,2015-11-27 18:06:56,United States,Montville
28.54916667,-81.37083333,2015-11-27 18:07:03,United States,Orlando
18.3765168,-66.7964422,2015-11-27 18:07:25,Puerto Rico,Arecibo
42.36792397,-83.07704786,2015-11-27 18:07:33,United States,Detroit
44.5673904,-123.2575684,2015-11-27 18:07:15,United States,Corvallis
41.96247888,-111.40340479,2015-11-27 18:07:18,United States,Garden City
41.1865,-74.0554,2015-11-27 18:07:14,United States,Pomona
37.78620864,-80.30875724,2015-11-27 18:07:15,United States,White Sulphur Springs
33.83782165,-116.30895962,2015-11-27 18:07:12,United States,Thousand Palms
40.68362427,-73.98845676,2015-11-27 18:07:14,United States,Kings County
37.4037,-79.1702,2015-11-27 18:16:09,United States,Lynchburg
33.97345555,-117.73013181,2015-11-27 18:16:37,United States,Chino Hills
